ContractID,LocationID,LocationName,Currency,Street,City,Latitude,Longitude,Subarea,Area,PostalCode,Country,LocPerils,RiskCount,Stories,YearBuilt,OccupancyCodeType,OccupancyCode,ConstructionCodeType,ConstructionCode,ConstructionOther,BuildingValue,OtherValue,ContentsValue,TimeElementValue,LocLimitType,LimitBldg,LimitOther,LimitContent,LimitTime,DeductType,DeductBldg,DeductOther,DeductContent,DeductTime,SubLimitArea,WallAttachedStructure,RoofDeckAttachment,WallType,WallSiding,SmallDebris,SealofApproval,GrossArea,FloorOfInterest,WindowProtection,RoofAnchorage,RoofGeometry,RoofPitch,RoofCover,FoundationConnection,FoundationType,BuildingCondition,LargeMissile,SpecialConstruction,Equipment,Ornamentation,ShapeIrregularity,BuildingShape,ShortColumn,SoftStory,Retrofit,ServiceEquipmentProtection,ContentVulnerability,CustomFloodSOP,FirstFloorHeight,BasementFinishType,BasementLevelCount,CRESTA
134642,1476800,1476800,USD,1401 H STREET NW,WASHINGTON,0,0,1,DC,20005,US,PWA,1,11,0,AIR,315,AIR,111,111,0,0,977556,100000,S,1077556,0,0,0,CT,1000,0,0,273.9726,,0,0,0,0,0,0,323838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
134643,1476802,1476802,USD,345 PARK AVENUE,NEW YORK,0,0,61,NY,10154,US,PWA,1,44,0,AIR,315,AIR,151,151,0,0,539141,582036,S,1121177,0,0,0,CT,1000,0,0,1594.6192000000001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
135199,1583185,1583185,USD,9449 BALBOA AVE,SAN DIEGO,0,0,73,CA,92123,US,PWA,1,3,1987,AIR,343,AIR,111,111,0,0,65000,0,S,65000,0,0,0,CT,1000,0,0,0,,0,0,0,0,0,0,58857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
133845,1473161,1473161,USD,621 CAPITOL MALL,SACRAMENTO,0,0,67,CA,95814,US,PWA,1,25,1991,AIR,315,AIR,151,151,0,0,5022462,1980163,S,7288339,0,0,0,CT,250,0,0,5425.1040999999996,,0,0,0,0,0,0,6000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
133845,1473167,1473167,USD,1401 NEW YORK AVE NW,WASHINGTON,0,0,1,DC,20005,US,PWA,1,11,1983,AIR,315,AIR,111,111,0,0,4777380,2355161,S,7418255,0,0,0,CT,10000,0,0,6452.4958999999999,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
133847,1579766,1579766,USD,25409 DETROIT RD,WESTLAKE,0,0,35,OH,44145,US,PWA,1,1,1991,AIR,315,AIR,111,111,0,0,0,414943,S,414943,0,0,0,C,0,0,0,1136.8300999999999,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
133849,1473171,1473171,USD,400 CAPITOL MALL,SACRAMENTO,0,0,67,CA,95814,US,PWA,1,30,1990,AIR,315,AIR,151,151,0,0,2974994,10099994,S,11402500,0,0,0,CT,1000,0,0,138356.0822,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
133852,1473179,1473179,USD,142 E ONTARIO ST,CHICAGO,0,0,31,IL,60611,US,PWA,1,19,1985,AIR,341,AIR,151,151,0,0,9335000,3000000,S,12335000,0,0,0,CT,5000,0,0,8219.1780999999992,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
133856,1473191,1473191,USD,10 WESTPORT RD,WILTON,0,0,1,CT,06897,US,PWA,1,0,0,AIR,314,AIR,111,111,0,0,8599000,1000000,S,9599000,0,0,0,CT,2500,0,0,2739.7260000000001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
133857,1473195,1473195,USD,2513 AVENUE O,BROOKLYN,0,0,47,NY,11210,US,PWA,1,2,0,AIR,315,AIR,111,111,555000,0,1044999,100000,S,1699999,0,0,0,CT,50000,0,0,273.9726,,0,0,0,0,0,0,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
131553,1464133,1464133,USD,300 N COLUMBIA AVE,SEWARD,0,0,159,NE,68434,US,PWA,1,4,1950,AIR,316,AIR,111,111,26655,0,31029,0,S,57684,0,0,0,CT,10000,0,0,0,,0,0,0,0,0,0,129311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
133376,1578692,1578692,USD,30 VANDAM ST,NEW YORK,0,0,61,NY,10013,US,PWA,1,5,1989,AIR,351,AIR,111,111,0,0,27500,0,S,27500,0,0,0,CT,1000,0,0,0,,0,0,0,0,0,0,26910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
131540,1464110,1464110,USD,19360 BUSINESS CENTER DRIVE,NORTHRIDGE,0,0,37,CA,91324,US,PWA,1,1,1978,AIR,323,AIR,111,111,0,0,1176263,508305,S,1684568,0,0,0,CT,1000,0,0,1392.6164000000001,,0,0,0,0,0,0,8200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
131541,1574470,1574470,USD,995 N RESLER DR,EL PASO,0,0,141,TX,79912,US,PWA,1,1,2009,AIR,315,AIR,111,111,4630000,0,0,1374000,S,6004000,0,0,0,CT,5000,0,0,3764.3836000000001,,0,0,0,0,0,0,91544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
134628,1476718,1476718,USD,4050 LEE VANCE VW,COLORADO SPRINGS,0,0,41,CO,80918,US,PWA,1,3,1995,AIR,424,AIR,114,114,14000000,0,13025000,26000000,S,53025000,0,0,0,CT,50000,0,0,71232.876699999993,,0,0,0,0,0,0,98000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
134628,1476720,1476720,USD,7135 S DECATUR BLVD,LAS VEGAS,0,0,3,NV,89118,US,PWA,1,1,2008,AIR,323,AIR,111,111,0,0,50000,0,S,50000,0,0,0,CT,50000,0,0,0,,0,0,0,0,0,0,525047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
134628,1582198,1582198,USD,8605 EXPLORER DR,COLORADO SPRINGS,0,0,41,CO,80920,US,PWA,1,2,1992,AIR,424,AIR,114,114,0,0,5000000,0,S,5000000,0,0,0,CT,50000,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
135179,1479522,1479522,USD,81 MONTOYA DR,BRANFORD,0,0,9,CT,06405,US,PWA,1,0,0,AIR,315,AIR,111,111,0,0,10000,0,S,10000,0,0,0,CT,1500,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
135180,1583170,1583170,USD,436 N INDUSTRIAL DR,MOUNT UNION,0,0,61,PA,17066,US,PWA,1,1,1979,AIR,313,AIR,151,151,10298820,0,1511000,1000000,S,12809820,0,0,0,CT,10000,0,0,2739.7260000000001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
135183,1583174,1583174,USD,507 ALLEN GENOA RD,HOUSTON,0,0,201,TX,77017,US,PWA,1,2,0,AIR,313,AIR,151,151,281216,0,112486,168730,S,562432,0,0,0,C,0,0,0,462.274,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
135186,1583177,1583177,USD,185 JORDAN ROAD,TROY,0,0,83,NY,12180,US,PWA,1,0,0,AIR,323,AIR,111,111,0,0,432669,0,S,432669,0,0,0,CT,10000,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
135189,1479588,1479588,USD,15 LAFAYETTE AVE,BROOKLYN,0,0,47,NY,11217,US,PWA,1,12,2017,AIR,345,AIR,151,151,0,0,7280400,540800,S,7821200,0,0,0,CT,1000,0,0,1481.6438000000001,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-999,-999.00,0,0,
